# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
4.2726462202e15, 1.5230422156e36, 1.6822631211e39
4.2227265140e15, 1.4962024187e36, 1.6681537607e39
4.1730206571e15, 1.4695887720e36, 1.6540336534e39
4.1235275443e15, 1.4432014414e36, 1.6399008726e39
4.0742526609e15, 1.4170405956e36, 1.6257601730e39
4.0251905956e15, 1.3911064068e36, 1.6116076719e39
3.9763431334e15, 1.3653990506e36, 1.5974440594e39
3.9277091047e15, 1.3399187060e36, 1.5832693807e39
3.8792891298e15, 1.3146655557e36, 1.5690830595e39
3.8310810962e15, 1.2896397864e36, 1.5548852295e39
3.7830872976e15, 1.2648415883e36, 1.5406763598e39
3.7353026393e15, 1.2402711559e36, 1.5264528605e39
3.6877295451e15, 1.2159286878e36, 1.5122167934e39
3.6403716868e15, 1.1918143869e36, 1.4979714227e39
3.5932219209e15, 1.1679284605e36, 1.4837108724e39
3.5462826301e15, 1.1442711205e36, 1.4694369765e39
3.4995526358e15, 1.1208425835e36, 1.4551488525e39
3.4530329923e15, 1.0976430707e36, 1.4408481001e39
3.4067203617e15, 1.0746728085e36, 1.4265318389e39
3.3606152002e15, 1.0519320281e36, 1.4122003720e39
3.3147207312e15, 1.0294209658e36, 1.3978561380e39
3.2690300650e15, 1.0071398633e36, 1.3834940904e39
3.2235496584e15, 9.8508896744e35, 1.3691192242e39
3.1782736362e15, 9.6326853040e35, 1.3547273717e39
3.1332044406e15, 9.4167880972e35, 1.3403197009e39
3.0883393851e15, 9.2032006827e35, 1.3258948920e39
3.0436774225e15, 8.9919257418e35, 1.3114518773e39
2.9992224094e15, 8.7829660076e35, 1.2969934850e39
2.9549685465e15, 8.5763242628e35, 1.2825151776e39
2.9109226275e15, 8.3720033368e35, 1.2680221509e39
2.8670794828e15, 8.1700061018e35, 1.2535105910e39
2.8234373688e15, 7.9703354672e35, 1.2389785605e39
2.7800012185e15, 7.7729943716e35, 1.2244293155e39
2.7367679810e15, 7.5779857723e35, 1.2098608093e39
2.6937429780e15, 7.3853126310e35, 1.1952761867e39
2.6509237483e15, 7.1949778944e35, 1.1806727633e39
2.6083109994e15, 7.0069844679e35, 1.1660500001e39
2.5659094025e15, 6.8213351784e35, 1.1514105903e39
2.5237210900e15, 6.6380327231e35, 1.1367543524e39
2.4817511073e15, 6.4570795950e35, 1.1220828445e39
2.4400100230e15, 6.2784779724e35, 1.1074012076e39
2.3985056222e15, 6.1022295468e35, 1.0927098496e39
2.3572563443e15, 5.9283352366e35, 1.0780163334e39
2.3162921114e15, 5.7567946620e35, 1.0633312786e39
2.2756719561e15, 5.5876050020e35, 1.0486757313e39
2.2356004257e15, 5.4207572422e35, 1.0341246877e39
2.1963600884e15, 5.2562206846e35, 1.0197813584e39
2.1572602524e15, 5.0939852988e35, 1.0053975395e39
2.1182883253e15, 4.9340583684e35, 9.9096487940e38
2.0794436339e15, 4.7764475409e35, 9.7648419330e38
2.0407209681e15, 4.6211608504e35, 9.6195302210e38
2.0021133354e15, 4.4682067431e35, 9.4736688810e38
1.9636147048e15, 4.3175941046e35, 9.3272266480e38
1.9252227388e15, 4.1693322884e35, 9.1802054180e38
1.8869279209e15, 4.0234311482e35, 9.0325418880e38
1.8487246231e15, 3.8799010720e35, 8.8842114460e38
1.8106076208e15, 3.7387530187e35, 8.7351924240e38
1.7725672479e15, 3.5999985585e35, 8.5854278450e38
1.7345948586e15, 3.4636499160e35, 8.4348672670e38
1.6966833743e15, 3.3297200180e35, 8.2834833650e38
1.6588226194e15, 3.1982225437e35, 8.1312147370e38
1.6210047637e15, 3.0691719814e35, 7.9780250910e38
1.5832172356e15, 2.9425836878e35, 7.8238412180e38
1.5454491705e15, 2.8184739548e35, 7.6686078330e38
1.5076898141e15, 2.6968600801e35, 7.5122670340e38
1.4699256137e15, 2.5777604456e35, 7.3547440720e38
1.4321433886e15, 2.4611946013e35, 7.1959699210e38
1.3943255398e15, 2.3471833567e35, 7.0358362530e38
1.3564600790e15, 2.2357488805e35, 6.8742911910e38
1.3185282060e15, 2.1269148066e35, 6.7112209050e38
1.2805108975e15, 2.0207063484e35, 6.5465182060e38
1.2423896791e15, 1.9171504198e35, 6.3800808940e38
1.2041444083e15, 1.8162757617e35, 6.2117946760e38
1.1657531534e15, 1.7181130698e35, 6.0415320220e38
1.1271903226e15, 1.6226951193e35, 5.8691362140e38
1.0884372841e15, 1.5300568744e35, 5.6945094060e38
1.0494675345e15, 1.4402355633e35, 5.5174805450e38
1.0102596135e15, 1.3532706817e35, 5.3379147210e38
9.7079738899e14, 1.2692038547e35, 5.1557014670e38
9.3107006180e14, 1.1880784070e35, 4.9707376230e38
8.9109225345e14, 1.1099383064e35, 4.7830502200e38
8.5093093672e14, 1.0348255738e35, 4.5929142080e38
8.1081536028e14, 9.6277293887e34, 4.4013749300e38
7.7271089771e14, 8.9376258107e34, 4.2179025740e38
7.3862500499e14, 8.2750907827e34, 4.0523349480e38
7.0467431756e14, 7.6391543557e34, 3.8859887970e38
6.7106702007e14, 7.0298699261e34, 3.7198752020e38
6.3821940174e14, 6.4470544888e34, 3.5560751250e38
6.0714113070e14, 5.8899979290e34, 3.3997121400e38
5.8197582162e14, 5.3560779859e34, 3.2719802510e38
5.5882242225e14, 4.8413036549e34, 3.1533519190e38
5.3515427345e14, 4.3458311334e34, 3.0309727490e38
5.1090592528e14, 3.8702940811e34, 2.9044216520e38
4.8600788718e14, 3.4153947364e34, 2.7732646740e38
4.6037513344e14, 2.9819144039e34, 2.6369563690e38
4.3391092238e14, 2.5707262177e34, 2.4948788790e38
4.0650216077e14, 2.1828108726e34, 2.3463100100e38
3.7801383212e14, 1.8192762968e34, 2.1903836820e38
3.4828234700e14, 1.4813826199e34, 2.0260462270e38
3.1711219799e14, 1.1705741881e34, 1.8520435040e38
2.8426225563e14, 8.8852000455e33, 1.6668168790e38
2.4946569203e14, 6.3715705350e33, 1.4686253200e38
2.1279616588e14, 4.1863946690e33, 1.2576270890e38
1.7320287751e14, 2.3514590130e33, 1.0274281530e38
1.2597824903e14, 9.1859180975e32, 7.4995767200e37
4.8388145427e13, 2.5135058740e31, 2.8894724200e37
4.7117378949e13, 1.2039353038e32, 2.7894000000e37
4.0788689505e13, 9.9421029521e31, 2.4157000000e37
3.6132216925e13, 8.4728102374e31, 2.1405000000e37
2.7912815693e13, 6.0315887071e31, 1.6547000000e37
2.1094027520e13, 4.1630494310e31, 1.2513000000e37
1.6815501258e13, 3.0761804160e31, 9.9795000000e36
1.2624159105e13, 2.0922352708e31, 7.4963000000e36
9.6385845775e12, 1.4532757483e31, 5.7260000000e36
7.5291818255e12, 1.0419167265e31, 4.4746000000e36
5.7294501832e12, 7.2402392187e30, 3.4064000000e36
4.4937954455e12, 5.2750726296e30, 2.6726000000e36
3.4262534828e12, 3.7511937343e30, 2.0384000000e36
2.7299390302e12, 2.8603831555e30, 1.6246000000e36
2.1193294790e12, 2.1576361481e30, 1.2616000000e36
1.7586417648e12, 1.7816211576e30, 1.0471000000e36
1.2862756988e12, 1.3388194063e30, 7.6608000000e35
1.0171116946e12, 1.1143143122e30, 6.0594000000e35
8.9647255575e11, 1.0204876051e30, 5.3414000000e35
7.8532885705e11, 9.3794503279e29, 4.6800000000e35
6.8392832108e11, 8.6560672769e29, 4.0764000000e35
5.9265233376e11, 8.0258027707e29, 3.5331000000e35
5.1206406310e11, 7.4786592227e29, 3.0533000000e35
4.4308311251e11, 7.0040141976e29, 2.6426000000e35
3.8745601567e11, 6.5902519099e29, 2.3114000000e35
3.6974295651e11, 6.4391505687e29, 2.2059000000e35
3.5037425473e11, 6.2234654606e29, 2.0905000000e35
9.6548380335e10, 1.4519731781e29, 5.7770000000e34
8.3576268954e10, 1.1014968937e29, 5.0020000000e34
6.6353843177e10, 8.0999996014e28, 3.9730000000e34
5.0514743339e10, 5.9570874627e28, 3.0250000000e34
4.1843203753e10, 4.6342978402e28, 2.5070000000e34
3.3232079973e10, 3.4086322057e28, 1.9910000000e34
2.5392638919e10, 2.5063981028e28, 1.5220000000e34
2.0961789972e10, 1.9406372546e28, 1.2570000000e34
1.6651095412e10, 1.4269391578e28, 9.9820000000e33
1.3222632029e10, 1.0494261315e28, 7.9300000000e33
1.0135010036e10, 7.7124809779e27, 6.0810000000e33
8.0508785563e09, 5.6697049204e27, 4.8300000000e33
6.6223387806e09, 4.3679358641e27, 3.9740000000e33
4.1763005779e09, 2.3592060742e27, 2.5070000000e33
2.5512935880e09, 1.2737309535e27, 1.5320000000e33
1.6099743252e09, 6.8693351738e26, 9.6670000000e32
1.2149993040e09, 5.0428530517e26, 7.2990000000e32
1.0485885082e09, 4.1346107839e26, 6.2960000000e32
8.3235516674e08, 3.0331299119e26, 5.0010000000e32
5.2519692686e08, 1.6312087527e26, 3.1560000000e32
3.3131743396e08, 8.7498907796e25, 1.9910000000e32
2.6314915618e08, 6.6850847842e25, 1.5810000000e32
1.3182533042e08, 2.6075435557e25, 7.9260000000e31
6.6083130461e07, 1.0073689774e25, 3.9730000000e31
3.3111783012e07, 3.8382079834e24, 1.9910000000e31
3.3101624602e07, 3.8382079834e24, 1.9900000000e31
1.6590964753e07, 1.4369527659e24, 9.9760000000e30
8.3135180098e06, 5.2661645238e23, 5.0000000000e30
6.6043031474e06, 3.9163141268e23, 3.9720000000e30
2.6284975041e06, 9.7682667151e22, 1.5810000000e30
1.0465835589e06, 2.3211543634e22, 6.2940000000e29
4.1662847420e05, 5.2731660386e21, 2.5060000000e29
1.6580931096e05, 1.1525662952e21, 9.9760000000e28
6.6033051281e04, 2.4343161461e20, 3.9720000000e28
2.6284975041e04, 4.9747605165e19, 1.5810000000e28
1.0465835589e04, 9.7572597570e18, 6.2950000000e27
1.1528458742e03, 1.9025855438e17, 6.9300000000e26
2.1252463073e02, 5.8279199288e15, 1.2700000000e26
