#central density,	central pressure, radius,	mass,   quarkRadiusPattern, quarkCoreMassPattern,   information entropy,	disequilibrium,	complexity
9.0796816408e+41, 1.44909996196e+35, 1.03009147808e-11, 1.1626171405, 0, 0, 0, 0, 0
9.086872044e+36, 7.70199979486e+27, 3.25614621666e-09, 367.506309839, 0, 0, 0, 0, 0
9.1192288584e+38, 1.11280003626e+30, 3.25036436028e-10, 36.6853715677, 0, 0, 0, 0, 0
9.1434964692e+40, 3.65050004132e+32, 3.24604812389e-11, 3.66366593383, 0, 0, 0, 0, 0
9.383476176e+30, 9.74399969863e+18, 3.20427090982e-06, 361651.38647, 0, 0, 0, 0, 0
9.383476176e+32, 2.31800009327e+22, 3.20427090982e-07, 36165.1392626, 0, 0, 0, 0, 0
9.401452184e+35, 4.12899996952e+26, 1.01231024964e-08, 1142.54823088, 0, 0, 0, 0, 0
9.6603066992e+41, 1.69299999662e+35, 9.98655383421, 3.21031982658, 0, 0, 0, 0, 0
9.747490338e+40, 4.05089983687e+32, 3.14387085901e-11, 3.54834315705, 0, 0, 0, 0, 0
1.02022833404e+41, 4.36809996175e+32, 3.07299896886e-11, 3.46835330269, 0, 0, 0, 0, 0
1.02535149632e+42, 1.96160003171e+35, 19.3867368688, 5.14947889011, 0, 0, 0, 0, 0
1.03362046e+30, 1.89999991619e+17, 9.65451710197e-06, 1089661.15334, 0, 0, 0, 0, 0
1.06588739436e+41, 4.6997998189e+32, 3.00646008145e-11, 3.39325391051, 0, 0, 0, 0, 0
1.0862002834e+42, 2.25589995988e+35, 18.835889962, 8.9945237571, 0, 0, 0, 0, 0
1.0893460848e+36, 5.03600010553e+26, 9.40433663146e-09, 1061.42441192, 0, 0, 0, 0, 0
1.11199585488e+41, 5.04619987092e+32, 2.94346936888e-11, 3.3221591743, 0, 0, 0, 0, 0
1.13185934372e+40, 2.08940006687e+31, 9.2260302598e-11, 10.4129979763, 0, 0, 0, 0, 0
1.1432741088e+41, 5.28560013372e+32, 2.90292570298e-11, 3.2763993899, 0, 0, 0, 0, 0
1.14839727108e+42, 2.576899994e+35, 9.1593578927, 5.11684839894, 0, 0, 0, 0, 0
1.15325079324e+39, 1.33699999221e+30, 2.89034193441e-10, 32.6219639676, 0, 0, 0, 0, 0
1.1545091138e+41, 5.37389993236e+32, 2.88876638676e-11, 3.26041842669, 0, 0, 0, 0, 0
1.17185596152e+41, 5.37389988604e+32, 2.86730563371e-11, 3.18829165184, 0, 0, 0, 0, 0
1.181922526e+35, 2.60400018174e+25, 2.85506894356e-08, 3222.38565341, 0, 0, 0, 0, 0
1.1855177276e+37, 1.04800001605e+28, 2.85073651474e-09, 321.749573349, 0, 0, 0, 0, 0
1.21212221944e+42, 2.92549995306e+35, 8.91533976169, 5.5291273559, 0, 0, 0, 0, 0
1.21616682124e+41, 5.82600017401e+32, 2.81458604036e-11, 3.17669451292, 0, 0, 0, 0, 0
1.29256485524e+41, 6.68280022735e+32, 2.73014009583e-11, 3.08138424582, 0, 0, 0, 0, 0
1.32177586824e+42, 3.57020007736e+35, 8.53752907194, 5.94299405848, 0, 0, 0, 0, 0
1.36905276928e+41, 7.64429993276e+32, 2.65277863311e-11, 2.99406990358, 0, 0, 0, 0, 0
1.43601339908e+42, 4.29810011908e+35, 16.3818088629, 9.66061923033, 0, 0, 0, 0, 0
1.4434734424e+36, 6.86000024776e+26, 8.16971122707e-09, 922.07788103, 0, 0, 0, 0, 0
1.4866158616e+32, 1.15099991729e+21, 8.05029367543e-07, 90859.9786569, 0, 0, 0, 0, 0
1.487514662e+34, 1.43499997892e+24, 8.04786119503e-08, 9083.25222315, 0, 0, 0, 0, 0
1.4929074644e+37, 1.42499993356e+28, 2.54035645722e-09, 286.718398575, 0, 0, 0, 0, 0
1.50764779096e+40, 3.07199997324e+31, 7.99394502075e-11, 9.0223996714, 0, 0, 0, 0, 0
